char,dialog,movie
DEAGOL,Oh Smeagol Ive got one  Ive got a fish Smeagol Smeagol    ,The Return of the King 
SMEAGOL,Pull it in Go on go on go on pull it in  ,The Return of the King 
DEAGOL,Arrghh ,The Return of the King 
SMEAGOL,Deagol  ,The Return of the King 
SMEAGOL,Deagol  ,The Return of the King 
SMEAGOL,Deagol  ,The Return of the King 
SMEAGOL,Give us that Deagol my love  ,The Return of the King 
DEAGOL,Why  ,The Return of the King 
SMEAGOL,Because  its my birthday and I wants it  ,The Return of the King 
SMEAGOL, My precious  ,The Return of the King 
SMEAGOL,They cursed us ,The Return of the King 
GOLLUM,Murderer ,The Return of the King 
SMEAGOL,Murderer they called us They cursed us and drove us away    ,The Return of the King 
SMEAGOL,Gollum Gollum Gollum  and we wept precious We wept to be so alone  ,The Return of the King 
SMEAGOL,and cool so nice for feet and we only wish to catch a fish     so juicy sweet  ,The Return of the King 
SMEAGOL,And we forgot the taste of bread the sound of trees and the softness of     the wind We even forgot our own name  ,The Return of the King 
FRODO,    Gandalf        ,The Return of the King 
FRODO,    Oooohhh ,The Return of the King 
MERRY,    Frodo  ,The Return of the King 
GIMLI,    Aaaahh  ,The Return of the King 
FRODO,    Gimli  ,The Return of the King 
GOLLUM,My precious    ,The Return of the King 
GOLLUM,Wake up  Wake up     Wake up sleepies We must go yes we must go at once  ,The Return of the King 
SAM,Havent you had any sleep Mr Frodo  ,The Return of the King 
SAM,And Ive gone and had too much  It must be getting late  ,The Return of the King 
FRODO,No it isnt It isnt midday yet  The days are growing darker  ,The Return of the King 
GOLLUM,Come on Must go No time  ,The Return of the King 
SAM,Not before Mr Frodos had something to eat  ,The Return of the King 
GOLLUM,No time to lose silly  ,The Return of the King 
SAM,Here ,The Return of the King 
FRODO,What about you  ,The Return of the King 
SAM,Oh no Im not hungry leastways not for lembas bread  ,The Return of the King 
FRODO,Sam  ,The Return of the King 
FRODO,    Aragorn  ,The Return of the King 
GANDALF,    Now come the days of the King May they be blessed ,The Return of the King 
ARAGORN,    This day does not belong to one man but to all Let us together rebuild     this world that we may share in the days of peace  ,The Return of the King 
ARAGORN,    Et Erello Endorenna utlien Sinome maruvan ar Hildinyar tenn Ambarmetta     ,The Return of the King 
ARAGORN,    Hannon le ,The Return of the King 
ARAGORN,    My friends  you bow to     noone  ,The Return of the King 
FRODO,    And thus     it was a Fourth Age of Middle Earth began And the Fellowship of the Ring     though eternally bound by friendship and love was ended            Thirteen months to the day since Gandalf sent us on our long journey we find     ourselves looking upon a familiar sight  ,The Return of the King 
FRODO,    We were home  ,The Return of the King 
PIPPIN,    Alright  ,The Return of the King 
HOBBIT,    Hey watch the pumpkin ,The Return of the King 
ROSIE,    Goodnight lads  ,The Return of the King 
SAM,Oh alright but we dont have that much left We have to be careful or     we are going to run out You go ahead and eat that Mr Frodo Ive rationed     it there should be enough  ,The Return of the King 
FRODO,For what  ,The Return of the King 
SAM,The journey home  ,The Return of the King 
GOLLUM,Come Hobbitses very close now Very close to Mordor No safe places here Hurry  ,The Return of the King 
MERRY,Its good Definitely from the Shire Longbottom leaf eh  ,The Return of the King 
PIPPIN,uhh huh  I feel like Im back at the Green Dragon  ,The Return of the King 
MERRY,Mmmm  Green Dragon  ,The Return of the King 
PIPPIN,A mug of ale in my hand Putting my feet up on a settle after a hard     days work  ,The Return of the King 
MERRY,Only  youve never done a hard days work     ,The Return of the King 
PIPPIN,Ahaha ,The Return of the King 
MERRY,Welcome my lords to Isengard  ,The Return of the King 
GIMLI,You young rascals A merry hunt youve led us on and now we find you     feasting and  and smoking  ,The Return of the King 
PIPPIN,    Hmm  ,The Return of the King 
FRODO,    How do you pick up the threads of an old life How do you go on when in     your heart you begin to understand there is no going back There are some     things that time cannot mend Some hurts that go too deep that have taken     hold ,The Return of the King 
